pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
EUR/JPY OTC,#EURJPY_otc,BUY,1m,185.657,185.651,LOSS,-0.00323,2026-04-01 13:25:50,level_breakout,57.0,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.9602,1.95969,LOSS,-0.02602,2026-04-01 13:25:50,level_touch,66.0,NEUTRAL
USD/JPY OTC,#USDJPY_otc,BUY,1m,162.63,162.624,LOSS,-0.00369,2026-04-01 13:25:50,level_touch,65.1,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.8405,0.84067,WIN,0.02023,2026-04-01 13:26:40,level_touch,62.2,NEUTRAL
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.38104,1.38056,LOSS,-0.03476,2026-04-01 13:26:40,level_touch,63.1,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.675,0.67554,WIN,0.08,2026-04-01 13:28:20,level_touch,63.4,NEUTRAL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95871,0.95788,LOSS,-0.08657,2026-04-01 13:28:20,level_touch,61.9,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30332,18.30472,WIN,0.00765,2026-04-01 13:28:20,level_touch,63.1,NEUTRAL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0075154,0.0075069,LOSS,-0.1131,2026-04-01 13:28:20,level_touch,63.0,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34633,1.34633,DRAW,0.0,2026-04-01 13:28:20,level_touch,64.7,NEUTRAL
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,90.949,90.907,WIN,0.04618,2026-04-01 13:28:20,level_breakout,55.4,NEUTRAL
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19569,1.19477,WIN,0.07694,2026-04-01 13:30:50,level_touch,64.7,BEAR
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.1388,1.13921,LOSS,-0.036,2026-04-01 13:31:40,level_touch,64.7,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,113.788,113.708,WIN,0.07031,2026-04-01 13:31:40,ema_bounce,83,BEAR
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.95732,1.95841,LOSS,-0.05569,2026-04-01 13:31:40,level_touch,64.7,BEAR
USD/JPY OTC,#USDJPY_otc,SELL,1m,162.53,162.485,WIN,0.02769,2026-04-01 13:31:40,level_touch,64.7,BEAR
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.84126,0.84089,WIN,0.04398,2026-04-01 13:33:20,level_touch,68.1,NEUTRAL
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.37997,1.37989,LOSS,-0.0058,2026-04-01 13:33:20,level_touch,58.8,NEUTRAL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95925,0.95855,LOSS,-0.07297,2026-04-01 13:34:10,level_touch,64.7,NEUTRAL
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19718,1.19981,LOSS,-0.21968,2026-04-01 13:34:10,level_breakout,57.7,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30428,18.30554,WIN,0.00688,2026-04-01 13:34:10,level_touch,59.8,NEUTRAL
